"FileName","Version","RBACInclude","FullPath"
"security-ediscoverycase-close.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-close.md"
"security-ediscoverycase-delete-legalholds.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-delete-legalholds.md"
"security-ediscoverycase-delete-searches.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-delete-searches.md"
"security-ediscoverycase-delete-tags.md","V1.0","reviewset","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-delete-tags.md"
"security-ediscoverycase-get.md","V1.0","read","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-get.md"
"security-ediscoverycase-list-custodians.md","V1.0","custodian","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-list-custodians.md"
"security-ediscoverycase-list-legalholds.md","V1.0","read","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-list-legalholds.md"
"security-ediscoverycase-list-noncustodialdatasources.md","V1.0","read","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-list-noncustodialdatasources.md"
"security-ediscoverycase-list-operations.md","V1.0","read","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-list-operations.md"
"security-ediscoverycase-list-reviewsets.md","V1.0","reviewset","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-list-reviewsets.md"
"security-ediscoverycase-list-searches.md","V1.0","read","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-list-searches.md"
"security-ediscoverycase-list-tags.md","V1.0","reviewset","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-list-tags.md"
"security-ediscoverycase-post-custodians.md","V1.0","custodian","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-post-custodians.md"
"security-ediscoverycase-post-legalholds.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-post-legalholds.md"
"security-ediscoverycase-post-noncustodialdatasources.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-post-noncustodialdatasources.md"
"security-ediscoverycase-post-reviewsets.md","V1.0","reviewset","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-post-reviewsets.md"
"security-ediscoverycase-post-searches.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-post-searches.md"
"security-ediscoverycase-post-tags.md","V1.0","reviewset","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-post-tags.md"
"security-ediscoverycase-reopen.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-reopen.md"
"security-ediscoverycase-update.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycase-update.md"
"security-ediscoverycasemember-delete.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycasemember-delete.md"
"security-ediscoverycasemember-list.md","V1.0","read","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycasemember-list.md"
"security-ediscoverycasemember-post.md","V1.0","write","D:\repos\microsoft-graph-docs\api-reference\v1.0\api\security-ediscoverycasemember-post.md"
